Канал;Дата;Тематика;Текст;Посилання
@bucha_city;2026-08-10 14:55;👐 Реабілітація;📱«Instagram з нуля»: у Бучанському центрі життєстійкості проведуть інформаційну сесію про ведення соцмереж. Соціальні мережі сьогодні можуть бути не лише способом спілкування, а й інструментом для професійного розвитку, самопрезентації, пошуку нових ...;https://t.me/bucha_city/50025
@bucha_city;2026-08-07 13:34;🤝 Загальна безбар'єрність;🚗 Безкоштовне навчання в автошколах для ветеранів та їхніх сімей. Ветерани війни та члени їхніх сімей можуть безкоштовно пройти навчання керуванню автомобілем та отримати посвідчення водія в межах програми професійної адаптації за кошти державного бю...;https://t.me/bucha_city/49933
@bucha_city;2026-08-07 09:33;⚽ Спорт;💰10 000 000 грн грантового фонду : в Україні стартував третій сезон освітньо-грантової програми «Траєкторія». Програма спрямована на підтримку та розвиток ветеранського бізнесу. Учасники зможуть: 🔸пройти навчання зі стратегії розвитку та масштабуванн...;https://t.me/bucha_city/49924
@bucha_city;2026-08-06 11:06;⚽ Спорт | 👐 Реабілітація;У Бучі завершуємо будівництво державного ветеранського простору. Він стане одним із перших таких центрів в Україні та прийматиме ветеранів з усього Бучанського району. Будівля буде повністю безбар’єрною. Тут облаштовуємо реабілітаційний спортзал, при...;https://t.me/bucha_city/49898
@bucha_city;2026-08-04 10:09;👐 Реабілітація;🌞 У Бучанському центрі життєстійкості працює Клуб підлітків: відкрито набір до нової групи. Підлітковий вік – період змін, пошуку себе та формування особистості. Саме тому функціонує безпечний простір для спілкування, психологічної підтримки та особи...;https://t.me/bucha_city/49819
@bucha_city;2026-08-02 16:06;🏗️ Інфраструктура;Шість головних подій цього тижня: 🔸Бучанська громада передала 16 підрозділам ЗСУ 36 Starlink, 29 генераторів, станцію керування БпЛА, 800 кг філаменту для 3D-друку, автобус MAN та вантажівку Volkswagen T4 загальною вартістю понад 2,1 млн грн. 🔸У Синя...;https://t.me/bucha_city/49762
@bucha_city;2026-07-30 11:31;👐 Реабілітація;✨ Творчість, підтримка та нові знайомства: у Бучанському центрі життєстійкості відбулися заняття для дітей і підлітків. Під час другого заняття Клубу підлітків учасники працювали разом із психологом центру, спілкувалися, ділилися своїми думками та оп...;https://t.me/bucha_city/49653
@bucha_city;2026-07-29 18:01;👐 Реабілітація | 🏗️ Інфраструктура;Соціальні та реабілітаційні послуги – безкоштовно та поруч: у Бучанській громаді працює Центр комплексного розвитку та підтримки дітей👦✨ У закладі облаштовані сучасні кабінети фізичної реабілітації, сенсорної терапії, кімнату самообслуговування та ін...;https://t.me/bucha_city/49635
@bucha_city;2026-07-29 07:00;🏗️ Інфраструктура;Було і стало: у парку «Диво» в Бучі повністю оновили дитячий майданчик. Замість старих конструкцій тепер тут сучасний, яскравий та інклюзивний простір для дітей різного віку. Плануємо поступово змінювати й інші дитячі майданчики громади, зокрема в ме...;https://t.me/bucha_city/49624
@bucha_city;2026-07-27 15:25;⚽ Спорт | 🤝 Загальна безбар'єрність;🚗 Ветерани та ветеранки можуть оформити автоцивілку без власних витрат. Держава запровадила механізм компенсації вартості поліса автоцивілки для ветеранів і ветеранок. Половину його вартості компенсує держава, ще 50% надає страхова компанія у вигляді...;https://t.me/bucha_city/49586
@bucha_city;2026-07-27 11:52;👐 Реабілітація;🎨Алгоритм гармонії: у Бучанському центрі життєстійкості відбувся творчий захід з нейрографіки. Під час чергової зустрічі «Код моєї гармонії: Алгоритм ресурсного стану» учасники опановували арттерапевтичні техніки для психологічного перезавантаження т...;https://t.me/bucha_city/49576
@bucha_city;2026-07-27 07:01;👐 Реабілітація;Щороку цього дня ми дякуємо всім нашим медичним працівникам: лікарям, бойовим медикам, медичним сестрам і братам, фельдшерам, парамедикам, усім працівникам екстреної медичної допомоги, усім, хто працює в лікарнях, реанімаціях, операційних, стабілізац...;https://t.me/bucha_city/49559
@bucha_city;2026-07-25 14:43;👐 Реабілітація;💙 Ментальне здоров’я – це основа нашої стійкості. Піклуючись про інших, важливо не забувати й про себе. Фахівці Бучанського центру життєстійкості провели ресурсне коло для працівників шелтеру Святої Ольги, які щодня підтримують людей, що опинилися у ...;https://t.me/bucha_city/49515
@bucha_city;2026-07-24 16:16;🚌 Транспорт | 👐 Реабілітація;❤️‍🩹 Соціальна підтримка поруч, але турботу рідних вона не замінить. Бучанський міський голова Анатолій Федорук провів робочу нараду із соціальними працівниками Бучанського центру соціальних послуг та психологічної допомоги. Під час зустрічі обговори...;https://t.me/bucha_city/49490
@bucha_city;2026-07-24 11:45;👐 Реабілітація;⭐️ Вихідні у Бучанській громаді: події, до яких варто долучитися. Ми підготували для вас добірку спортивних, благодійних, сімейних та культурних заходів, які відбудуться цими вихідними. 🔸 Фінал Кубка Бучанської районної асоціації футболу. У вирішальн...;https://t.me/bucha_city/49488
@bucha_city;2026-07-23 13:33;👐 Реабілітація;✨«Код моєї гармонії: Алгоритм ресурсного стану» – у Бучанському центрі життєстійкості відбудеться арттерапевтична зустріч. Це творчій захід, який допоможе відновити внутрішній ресурс, знайти натхнення та приділити час собі. Під час події учасники: 🔸 ...;https://t.me/bucha_city/49442
@bucha_city;2026-07-21 10:05;👐 Реабілітація;📱Опануйте мобільний монтаж: у Бучі відбудеться безкоштовне навчання зі створення контенту для Instagram. Практична інформаційна сесія допоможе опанувати затребувану навичку для розвитку власної справи, особистого бренду чи професійного зростання. Під...;https://t.me/bucha_city/49373
@bucha_city;2026-07-16 17:19;🏗️ Інфраструктура | 🤝 Загальна безбар'єрність;«Форум соціальних змін: шляхи підтримки літніх людей від переміщення до інтеграції». У Бучі відбувся міжрегіональний форум присвячений підтримці та адаптації літніх людей і маломобільних груп населення, зокрема ВПО. Захід зібрав близько 100 представн...;https://t.me/bucha_city/49218
@bucha_city;2026-07-16 14:26;👐 Реабілітація;Після звільнення з російського полону та реабілітації Богдан Щерба повернувся додому, до рідної Луб’янки. Чотири роки і чотири місяці він провів у російській неволі як цивільний. На Богдана чекали рідні, друзі й уся Бучанська громада, яка зустрічала ...;https://t.me/bucha_city/49209
@bucha_city;2026-07-15 10:15;👐 Реабілітація;🇱🇺 Юні мешканці Бучанської громади проводять літні канікули у місті-побратимі Штрассен (Люксембург). У межах програми реабілітації та психосоціальної підтримки діти з Бучанської громади перебувають у Люксембурзі, де знайомляться з історією, культурою...;https://t.me/bucha_city/49151
@bucha_city;2026-07-12 16:09;⚽ Спорт | 👐 Реабілітація;🤝🇺🇦Єднання, підтримка та дитячі усмішки: у Бучі відбувся Сімейний ветеранський фестиваль до Дня Української державності! Сьогодні Пластовий вишкільний центр об’єднав ветеранів, їхні родини, а також сім’ї загиблих, безвісти зниклих і військовополонени...;https://t.me/bucha_city/49068
@bucha_city;2026-07-08 17:47;👐 Реабілітація;🦷 Безкоштовні стоматологічні послуги для ветеранів та пільгових категорій: як отримати допомогу в Бучанському консультативно-діагностичному центрі. Тут пацієнтам доступне все необхідне без жодних доплат: від невідкладного лікування гострого болю та с...;https://t.me/bucha_city/48969
@bucha_city;2026-07-06 15:31;👐 Реабілітація;💼 Управління соціальної політики Бучанської міської ради запрошує на роботу. Це можливість отримати стабільну роботу, професійно розвиватися та працювати на благо громади. Наразі відкрито такі вакансії: 🔸Спеціаліст відділу з обслуговування ветеранів ...;https://t.me/bucha_city/48891
@bucha_city;2026-07-05 15:11;👐 Реабілітація;Літо з користю: безкоштовні заняття для дітей у Бучанському центрі життєстійкості. Щосереди у Бучанському центрі життєстійкості проходять безкоштовні заняття, які допомагають зміцнити емоційний стан, розвинути навички спілкування та знайти нових друз...;https://t.me/bucha_city/48859
@bucha_city;2026-07-04 17:15;🚨 Укриття;🫡Інспектори КП «Муніципальна безпека» щодня дбають про порядок в укриттях Бучанської громади. В умовах постійної загрози ракетних та дронових атак укриття мають бути готовими прийняти людей у будь-який момент. Під час перевірок інспектори контролюють...;https://t.me/bucha_city/48829
@bucha_city;2026-06-30 17:13;👐 Реабілітація;🧠🎨 У Бучанському центрі життєстійкості завершили першу в Україні Art&Tech-програму «Коло стійкості: Мистецька регенерація громад». Пілотний цикл авторської програми Олени Ензель складався із семи комплексних сесій та поєднав психосоціальну підтримку,...;https://t.me/bucha_city/48701
@bucha_city;2026-06-27 06:54;👐 Реабілітація;🇺🇦Підтримка звільнених з полону жителів громади триває. Кожна така зустріч – це можливість особисто почути про потреби людей, які пройшли через надзвичайно складні випробування. Цього разу заступниця Бучанського міського голови Людмила Риженко та кер...;https://t.me/bucha_city/48536
@bucha_city;2026-06-25 12:21;👐 Реабілітація;🌿 У Бучанському центрі життєстійкості відбудеться заняття з основ психічного здоров’я та саундхілінгу. У сучасних умовах особливо важливо дбати про свій емоційний стан, вчасно відновлювати внутрішні ресурси та знаходити підтримку. Під час зустрічі уч...;https://t.me/bucha_city/48474
@bucha_city;2026-06-23 11:37;👐 Реабілітація;🕯️Схиляємо голови в жалобі: у Бабинцях проводжають в останню путь 38-річного Героя Олександра Власенка. Воїн став на захист рідної землі з перших днів повномасштабного вторгнення. Він визволяв Київську та Чернігівську області, а згодом боронив Україн...;https://t.me/bucha_city/48411
@bucha_city;2026-06-22 09:32;👐 Реабілітація;Попрощаємось із Героєм. 38-річний житель Бабинців Олександр Власенко відійшов у вічність. Із перших днів повномасштабної війни Олександр став на захист України. Брав участь у звільненні Київщини та Чернігівщини, а згодом виконував бойові завдання на ...;https://t.me/bucha_city/48368
@bucha_city;2026-06-21 14:53;🏗️ Інфраструктура;💊 Доступна медицина: у Синяківському старостаті офіційно відкрили нову аптеку. Аптечний пункт №3 мережі «Аптека Фенікс Фарм» запрацював за адресою: с. Синяк, вул. Київська, 60. Раніше в селі не було жодного закладу такого типу, тож відкриття аптеки п...;https://t.me/bucha_city/48354
@bucha_city;2026-06-18 18:04;⚽ Спорт;🛵12 ветеранів Бучанської громади отримали сучасні триколісні електроскутери. Сьогодні у Ветеранському просторі захисникам передали новий транспорт. Це стало можливим завдяки обласній програмі «Турбота», ініціативі голови Київської обласної ради Яросл...;https://t.me/bucha_city/48267
@bucha_city;2026-06-18 11:41;👐 Реабілітація;🦋 Символ легкості та літній настрій: у Бучанському центрі життєстійкості пройшло ресурсне заняття для дітей. Разом із фахівцями діти говорили про довгоочікуване літо, ділилися планами на канікули та розповідали про те, що допомагає їм почуватися щасл...;https://t.me/bucha_city/48252
@bucha_city;2026-06-18 10:06;👐 Реабілітація | 🏥 Медицина;🏥 Медичні послуги – максимально доступно та зрозуміло: НСЗУ підготувала «Гід для ветеранів: простими словами про медичні гарантії 2026». Це практичний посібник, який допомагає швидко орієнтуватися в безоплатних медичних послугах, гарантованих державо...;https://t.me/bucha_city/48251
@bucha_city;2026-06-11 10:41;👐 Реабілітація;💼 Управління соціальної політики Бучанської міської ради запрошує на роботу спеціалістів. Наразі відкрито кілька вакансій у різних напрямках соціальної роботи, ветеранської політики та адміністративного супроводу. 🔸Спеціаліст із функціями супроводу п...;https://t.me/bucha_city/48024
@bucha_city;2026-06-07 12:04;🏗️ Інфраструктура;♿️Доступність як стандарт: водії КП «Бучатранссервіс» успішно завершили навчання з безбар’єрності та отримали сертифікати. Інтенсивний курс «Безбар’єрність в автобусі: Знати. Вміти. Практикувати» пройшов увесь водійський склад підприємства. Завдяки ц...;https://t.me/bucha_city/47920
@bucha_city;2026-06-05 16:26;👐 Реабілітація;Історія довіри: до Центру комплексного розвитку та підтримки дітей завітав один із тих, хто повірив у нього ще до його відкриття. Бучу відвідав виконавчий директор Міжнародної благодійної організації «Надія і дім для дітей» Марк Веддінгтон. Цей візит...;https://t.me/bucha_city/47869
@bucha_city;2026-06-05 10:53;⚽ Спорт;🏉 В Україні стартує спортивний табір та змагання з регбі на кріслах колісних для ветеранів і військовослужбовців. Це можливість відновитися, знайти підтримку однодумців, випробувати себе у новому виді спорту та провести час у колі тих, хто розуміє з ...;https://t.me/bucha_city/47853
@bucha_city;2026-06-04 14:00;🤝 Загальна безбар'єрність;🫂Повага, рівність та простір без кордонів: у Бучанському ліцеї пройшов Тиждень безбар'єрності. Протягом тижня учні ліцею брали участь у тематичних заняттях, інтерактивних вправах та творчих активностях, де вчилися краще розуміти потреби інших. Адже б...;https://t.me/bucha_city/47826
@bucha_city;2026-05-30 14:42;👐 Реабілітація;🛼 Юна бучанка гідно представила громаду на Міжнародному кубку зі спідскейтингу в Італії! Учениця 2-Г класу Бучанського ліцею №9 Софія Червоняк виступила на змаганнях Vesmaco «Memorial Sergio Rossi» (International Vesmaco Race). Міжнародний кубок прох...;https://t.me/bucha_city/47639
@bucha_city;2026-05-22 09:30;👐 Реабілітація;🌊 У Бучанському центрі життєстійкості відбудеться Art&Tech воркшоп «Занурення: Простір глибинного спокою та творчості». Це особливий творчий простір для ментального відновлення, де через атмосферу світла, візуальних ефектів та мистецтва учасники змож...;https://t.me/bucha_city/47299
@bucha_city;2026-05-17 12:15;👐 Реабілітація;🌿Сучасні стандарти ментального здоров'я: фахівчині Бучанської громади взяли участь у міжнародній конференції «Повернення». Дводенна масштабна подія зібрала понад 200 експертів, урядовців та спікерів зі США, Ізраїлю та Ірландії. У центрі уваги – створ...;https://t.me/bucha_city/47111
@bucha_city;2026-05-15 11:11;🏗️ Інфраструктура;Безбар’єрність – наша постійна практика: завершуємо навчання водіїв КП «Бучатранссервіс» ♿️ Цього тижня відбувся другий етап інтенсиву «Знати. Вміти. Практикувати». Наша мета – щоб кожен водій громади володів навичками інклюзивного сервісу. Цього раз...;https://t.me/bucha_city/47028
@bucha_city;2026-05-14 15:29;👐 Реабілітація;427 захисників, захисниць та членів їхніх родин Бучанської громади вже перебувають у супроводі «ВетеранПРО» Буча. І це лише за три місяці роботи. За цей час команді вдалося вибудувати системну підтримку ветеранів, їхніх родин, сімей загиблих Героїв т...;https://t.me/bucha_city/46994
@bucha_city;2026-05-13 16:34;👐 Реабілітація;🌿 У Бучанському центрі життєстійкості відбулося заключне заняття курсу «Батьківство без стресу»: курс про підтримку, усвідомлене виховання та гармонію в сім’ї. Протягом навчання учасники отримували практичні знання та навички, які допомагають краще р...;https://t.me/bucha_city/46955
@bucha_city;2026-05-13 12:04;👐 Реабілітація;🖲️VR-технології на варті ментального здоров’я ветеранів. У Бучі проведуть перший сеанс інноваційної VR-реабілітації. Це сучасний метод психологічного відновлення, який вже довів свою ефективність у боротьбі з тривожністю та наслідками бойового стресу...;https://t.me/bucha_city/46951
@bucha_city;2026-05-12 10:29;⚽ Спорт | 👐 Реабілітація;🎯У просторі «Ветеран PRO»відбулося заняття з дартсу. Майстер-клас об’єднав ветеранів, їхні родини та всіх охочих, які прагнули активно й корисно провести час у колі однодумців. Учасники мали можливість ознайомитися з основами гри, спробувати свої сил...;https://t.me/bucha_city/46922
@bucha_city;2026-05-07 16:34;🤝 Загальна безбар'єрність;Буча офіційно відкрила власне представництво в Європейському комітеті регіонів у Брюсселі. Це новий рівень міжнародної присутності громади та ще один крок до сильної інтеграції в європейський простір. Такі представництва відкривають містам прямий дос...;https://t.me/bucha_city/46748
@bucha_city;2026-05-05 13:07;👐 Реабілітація;🌿 У Бучанському центрі життєстійкості відбулося заняття з основ психічного здоров’я з елементами нейрографіки – «Активація внутрішнього коду». Під час зустрічі учасниці поєднали аналітичний підхід і творчі практики нейрографіки, щоб краще зрозуміти с...;https://t.me/bucha_city/46664
@bucha_city;2026-05-05 10:12;⚽ Спорт | 👐 Реабілітація;🎯Активне та корисне дозвілля у Бучі: у просторі «Ветеран ПРО» відбудеться майстерклас із дартсу. Дартс як адаптивний вид спорту допомагає покращити концентрацію, координацію та емоційний стан, а також є чудовою можливістю відволіктися та провести час...;https://t.me/bucha_city/46660
@bucha_city;2026-05-04 16:25;🤝 Загальна безбар'єрність;📢 Відкрито бронювання коштів за житловими ваучерами для ВПО з тимчасово окупованих територій. Уряд передбачив 6,6 млрд грн на фінансування програми забезпечення житлом внутрішньо переміщених осіб. ❓ Як забронювати кошти? 1️⃣ Подайте заявку на бронюва...;https://t.me/bucha_city/46640
@bucha_city;2026-05-04 11:58;👐 Реабілітація;✨ У Бучі стартувала перша в Україні Art&Tech програма ментального відновлення – «Коло стійкості: Мистецька регенерація громад». У Бучанському Центрі життєстійкості розпочалася унікальна програма авторства Олени Ензель, що поєднує класичне мистецтво т...;https://t.me/bucha_city/46634
@bucha_city;2026-05-02 17:15;👐 Реабілітація;Навіки у строю… У Ворзелі попрощалися із захисником – Дмитром Назаренком. Чоловік долучився до лав Збройних Сил України у 2023 році, аби вірно та віддано захищати нашу державу. 22 січня Дмитро отримав поранення. Після цього проходив тривалу реабіліта...;https://t.me/bucha_city/46595
@bucha_city;2026-05-02 09:15;👐 Реабілітація;У Ворзелі проводжають в останню путь 37-річного захисника Дмитра Назаренка. Дмитро став на захист України у 2023 році. Під час виконання бойового завдання на Донецькому напрямку 22 січня отримав поранення. Він проходив тривалу реабілітацію, з’являлас...;https://t.me/bucha_city/46577
@bucha_city;2026-05-01 12:48;👐 Реабілітація;Через отримані на фронті поранення пішов із життя 37-річний Дмитро Назаренко. Дмитро народився і виріс у Ворзелі. У мирному житті працював на різних роботах, щиро любив тварин і музику. У 2023 році став до лав Збройних Сил України. 22 січня на Донець...;https://t.me/bucha_city/46557
@bucha_city;2026-04-30 09:00;👐 Реабілітація;До Бучі з робочим візитом завітала Маріко Укійо – керівниця Національної асоціації фахівців психічного здоровʼя Японії та засновниця центру «Шібуя Хімаварі», який із 2022 року допоміг уже понад 1500 українцям у Японії відновити психологічний стан. Її...;https://t.me/bucha_city/46512
@bucha_city;2026-04-28 12:27;🤝 Загальна безбар'єрність;🤝 «Податкова підтримка ветеранського підприємництва: можливості та підтримка на Київщині»: у Бучі відбулася зустріч щодо розвитку бізнесу та працевлаштування ветеранів. Захід став регіональним продовженням системної співпраці між Державною податковою...;https://t.me/bucha_city/46435
@bucha_city;2026-04-28 08:24;👐 Реабілітація;🗣️ Бучанський центр життєстійкості представив свій досвід на Національному форумі життєстійкості у Києві. Представники нашої громади долучилися до масштабної події, що об’єднала понад 250 Центрів життєстійкості з усієї країни. Наш центр на форумі пре...;https://t.me/bucha_city/46432
@bucha_city;2026-04-25 13:07;⚽ Спорт | 🏗️ Інфраструктура;♿️ Буча стає другим містом в Україні, де впроваджують інклюзивні стандарти пасажирських перевезень. Команда КП «Бучатранссервіс» розпочала інтенсивний курс для водіїв «Безбар’єрність в автобусі: Знати. Вміти. Практикувати». Переймаючи досвід колег зі...;https://t.me/bucha_city/46358
@bucha_city;2026-04-23 17:16;⚽ Спорт | 👐 Реабілітація;«Ветерани – це рушійна сила, яку треба правильно спрямувати». Саме з таким розумінням рухаємось далі. У рамках підписаного Меморандуму про партнерство між Ветеран ПРО. Буча, Федерацією стронгмену України та Українською федерацією спорту ветеранів вій...;https://t.me/bucha_city/46302
@bucha_city;2026-04-23 11:54;👐 Реабілітація;🫶23 квітня весь світ відзначає Міжнародний день психолога. У часи випробувань робота цих фахівців стала невід'ємною частиною нашого життя. Від першої розмови, коли щось усередині змінюється, – до глибинного відновлення, коли крок за кроком повертаєшс...;https://t.me/bucha_city/46296
@bucha_city;2026-04-22 12:50;👐 Реабілітація;✨У Бучі відбудеться творчо-терапевтичне заняття «Мікросвіт спокою: відкрий свою внутрішню силу». Це можливість відновити емоційний ресурс, відчути гармонію з собою, наповнитися позитивною енергією та провести час у творчій атмосфері. У програмі заход...;https://t.me/bucha_city/46263
